25 20
#############
#p..b.......#    ########
#..h..k.....######t.....#
#.......................#
#....h..h...######t.....#
#.....s.....#    #......#
#.........p.#    #......#
#....s......#    #.t..t.#
#####..######    ####x###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #....g.#
  #...a...#      #......#
  #.a..aa.#      #......#
  #...c.a.#      #......#
  #.a.....#      #..ed..#
  #....a..#      #......#
  #u@...a.#      #.d...\#
  #########       ######
